timestamp,soil,cumulative_precipitation_cm,rain
1/19/2017 12:00,0.414,0,0
1/19/2017 13:00,0.437,0.2,2
1/19/2017 14:00,0.437,0.2,0
1/19/2017 15:00,0.438,0.2,0
1/19/2017 16:00,0.438,0.2,0
1/19/2017 17:00,0.438,0.2,0
1/19/2017 18:00,0.438,0.3,1
1/19/2017 19:00,0.438,0.3,0
1/19/2017 20:00,0.438,0.3,0
1/19/2017 21:00,0.438,0.3,0
1/19/2017 22:00,0.438,0.3,0
1/19/2017 23:00,0.438,0.3,0
1/20/2017 0:00,0.438,0.4,1
1/20/2017 1:00,0.438,0.7,3
1/20/2017 2:00,0.438,1.3,6
1/20/2017 3:00,0.438,1.5,2
1/20/2017 4:00,0.437,1.8,3
1/20/2017 5:00,0.437,2.2,4
1/20/2017 6:00,0.437,3.2,10
1/20/2017 7:00,0.437,3.7,5
1/20/2017 8:00,0.437,3.8,1
1/20/2017 9:00,0.437,3.8,0
1/20/2017 10:00,0.437,4,2
1/20/2017 11:00,0.437,4.8,8
1/20/2017 12:00,0.436,5.2,4
1/20/2017 13:00,0.436,5.2,0
1/20/2017 14:00,0.436,5.4,2
1/20/2017 15:00,0.436,5.7,3
1/20/2017 16:00,0.436,6,3
1/20/2017 17:00,0.436,6.3,3
1/20/2017 18:00,0.437,6.5,2
1/20/2017 19:00,0.437,6.7,2
1/20/2017 20:00,0.437,6.9,2
1/20/2017 21:00,0.437,7,1
1/20/2017 22:00,0.437,7.3,3
1/20/2017 23:00,0.436,7.4,1
1/21/2017 0:00,0.436,7.5,1
1/21/2017 1:00,0.436,7.8,3
1/21/2017 2:00,0.436,8.1,3
1/21/2017 3:00,0.436,8.4,3
1/21/2017 4:00,0.436,8.6,2
1/21/2017 5:00,0.436,8.9,3
1/21/2017 6:00,0.436,9.1,2
1/21/2017 7:00,0.435,9.2,1
1/21/2017 8:00,0.436,9.4,2
1/21/2017 9:00,0.436,9.5,1
1/21/2017 10:00,0.435,9.8,3
1/21/2017 11:00,0.435,9.9,1
1/21/2017 12:00,0.435,10.1,2
1/21/2017 13:00,0.436,10.3,2
1/21/2017 14:00,0.436,10.7,4
1/21/2017 15:00,0.436,10.8,1
1/21/2017 16:00,0.437,10.8,0
1/21/2017 17:00,0.437,10.8,0
1/21/2017 18:00,0.437,10.8,0
1/21/2017 19:00,0.437,10.8,0
1/21/2017 20:00,0.437,10.9,1
1/21/2017 21:00,0.437,11.1,2
1/21/2017 22:00,0.437,11.3,2
1/21/2017 23:00,0.437,11.6,3
1/22/2017 0:00,0.437,11.6,0
1/22/2017 1:00,0.437,11.8,2
1/22/2017 2:00,0.437,11.9,1
1/22/2017 3:00,0.437,12.1,2
1/22/2017 4:00,0.437,12.3,2
1/22/2017 5:00,0.437,12.8,5
1/22/2017 6:00,0.437,13.4,6
1/22/2017 7:00,0.437,13.4,0
1/22/2017 8:00,0.437,13.5,1
1/22/2017 9:00,0.437,13.6,1
1/22/2017 10:00,0.437,13.6,0
1/22/2017 11:00,0.437,13.6,0
1/22/2017 12:00,0.437,13.6,0
1/22/2017 13:00,0.437,13.6,0
1/22/2017 14:00,0.437,13.6,0
1/22/2017 15:00,0.437,13.6,0
1/22/2017 16:00,0.438,13.6,0
1/22/2017 17:00,0.438,14.2,6
1/22/2017 18:00,0.438,14.5,3
1/22/2017 19:00,0.437,14.7,2
1/22/2017 20:00,0.437,14.7,0
1/22/2017 21:00,0.437,14.7,0
1/22/2017 22:00,0.437,14.7,0
1/22/2017 23:00,0.437,14.7,0
1/23/2017 0:00,0.437,14.8,1
1/23/2017 1:00,0.437,14.8,0
1/23/2017 2:00,0.436,14.8,0
1/23/2017 3:00,0.436,14.8,0
1/23/2017 4:00,0.436,14.9,1
1/23/2017 5:00,0.435,14.9,0
1/23/2017 6:00,0.435,14.9,0
1/23/2017 7:00,0.435,15,1
1/23/2017 8:00,0.435,15,0
1/23/2017 9:00,0.435,15.1,1
1/23/2017 10:00,0.435,15.1,0
1/23/2017 11:00,0.435,15.6,5
1/23/2017 12:00,0.435,15.702,1.02
1/23/2017 13:00,0.435,16.26,5.58
1/23/2017 14:00,0.435,16.26,0
1/23/2017 15:00,0.435,16.26,0
1/23/2017 16:00,0.435,16.26,0
1/23/2017 17:00,0.435,16.26,0
1/23/2017 18:00,0.436,16.286,0.26
1/23/2017 19:00,0.436,16.362,0.76
1/23/2017 20:00,0.437,16.362,0
1/23/2017 21:00,0.437,16.362,0
1/23/2017 22:00,0.437,16.362,0
1/23/2017 23:00,0.437,16.362,0
1/24/2017 0:00,0.436,16.362,0
1/24/2017 1:00,0.436,16.362,0
1/24/2017 2:00,0.436,16.362,0
1/24/2017 3:00,0.436,16.362,0
1/24/2017 4:00,0.435,16.362,0
1/24/2017 5:00,0.435,16.362,0
1/24/2017 6:00,0.435,16.362,0
1/24/2017 7:00,0.435,16.362,0
1/24/2017 8:00,0.435,16.362,0
1/24/2017 9:00,0.434,16.362,0
1/24/2017 10:00,0.434,16.362,0
1/24/2017 11:00,0.434,16.362,0
1/24/2017 12:00,0.435,16.413,0.51
1/24/2017 13:00,0.434,16.413,0
1/24/2017 14:00,0.434,16.413,0
1/24/2017 15:00,0.435,16.413,0
1/24/2017 16:00,0.435,16.413,0
1/24/2017 17:00,0.435,16.413,0
1/24/2017 18:00,0.436,16.413,0
1/24/2017 19:00,0.437,16.413,0
1/24/2017 20:00,0.437,16.413,0
1/24/2017 21:00,0.437,16.413,0
1/24/2017 22:00,0.437,16.413,0
1/24/2017 23:00,0.437,16.413,0
1/25/2017 0:00,0.437,16.413,0
1/25/2017 1:00,0.436,16.413,0
1/25/2017 2:00,0.436,16.413,0
1/25/2017 3:00,0.435,16.413,0
1/25/2017 4:00,0.435,16.413,0
1/25/2017 5:00,0.435,16.413,0
1/25/2017 6:00,0.435,16.413,0
1/25/2017 7:00,0.435,16.413,0
1/25/2017 8:00,0.435,16.413,0
1/25/2017 9:00,0.435,16.413,0
1/25/2017 10:00,0.435,16.413,0
1/25/2017 11:00,0.435,16.413,0
1/25/2017 12:00,0.435,16.413,0
1/25/2017 13:00,0.434,16.413,0
1/25/2017 14:00,0.435,16.413,0
1/25/2017 15:00,0.435,16.413,0
1/25/2017 16:00,0.435,16.413,0
1/25/2017 17:00,0.436,16.413,0
1/25/2017 18:00,0.436,16.413,0
1/25/2017 19:00,0.436,16.413,0
1/25/2017 20:00,0.437,16.413,0
1/25/2017 21:00,0.437,16.413,0
1/25/2017 22:00,0.437,16.413,0
1/25/2017 23:00,0.437,16.413,0
1/26/2017 0:00,0.437,16.413,0
1/26/2017 1:00,0.437,16.413,0
1/26/2017 2:00,0.437,16.413,0
1/26/2017 3:00,0.436,16.413,0
1/26/2017 4:00,0.436,16.413,0
1/26/2017 5:00,0.436,16.413,0
1/26/2017 6:00,0.435,16.413,0
1/26/2017 7:00,0.435,16.413,0
1/26/2017 8:00,0.435,16.413,0
1/26/2017 9:00,0.434,16.413,0
1/26/2017 10:00,0.434,16.413,0
1/26/2017 11:00,0.434,16.413,0
1/26/2017 12:00,0.435,16.413,0
1/26/2017 13:00,0.434,16.413,0
1/26/2017 14:00,0.435,16.413,0
1/26/2017 15:00,0.435,16.413,0
1/26/2017 16:00,0.435,16.413,0
1/26/2017 17:00,0.435,16.413,0
1/26/2017 18:00,0.436,16.413,0
1/26/2017 19:00,0.437,16.413,0
1/26/2017 20:00,0.437,16.413,0
1/26/2017 21:00,0.437,16.413,0
1/26/2017 22:00,0.437,16.413,0
1/26/2017 23:00,0.437,16.413,0
1/27/2017 0:00,0.436,16.413,0
1/27/2017 1:00,0.437,16.413,0
1/27/2017 2:00,0.437,16.413,0
1/27/2017 3:00,0.436,16.413,0
1/27/2017 4:00,0.436,16.413,0
1/27/2017 5:00,0.435,16.413,0
1/27/2017 6:00,0.435,16.413,0
1/27/2017 7:00,0.435,16.413,0
1/27/2017 8:00,0.435,16.413,0
1/27/2017 9:00,0.435,16.413,0
1/27/2017 10:00,0.434,16.413,0
1/27/2017 11:00,0.434,16.413,0
1/27/2017 12:00,0.434,16.413,0
1/27/2017 13:00,0.434,16.413,0
1/27/2017 14:00,0.434,16.413,0
1/27/2017 15:00,0.434,16.413,0
1/27/2017 16:00,0.435,16.413,0
1/27/2017 17:00,0.436,16.413,0
1/27/2017 18:00,0.436,16.413,0
1/27/2017 19:00,0.436,16.413,0
1/27/2017 20:00,0.437,16.413,0
1/27/2017 21:00,0.437,16.413,0
1/27/2017 22:00,0.437,16.413,0
1/27/2017 23:00,0.437,16.413,0
1/28/2017 0:00,0.437,16.413,0
1/28/2017 1:00,0.436,16.413,0
1/28/2017 2:00,0.436,16.413,0
1/28/2017 3:00,0.436,16.413,0
1/28/2017 4:00,0.436,16.413,0
1/28/2017 5:00,0.436,16.413,0
1/28/2017 6:00,0.435,16.413,0
1/28/2017 7:00,0.435,16.413,0
1/28/2017 8:00,0.435,16.413,0
1/28/2017 9:00,0.435,16.413,0
1/28/2017 10:00,0.435,16.413,0
1/28/2017 11:00,0.435,16.413,0
1/28/2017 12:00,0.435,16.413,0
1/28/2017 13:00,0.435,16.413,0
1/28/2017 14:00,0.435,16.413,0
1/28/2017 15:00,0.435,16.413,0
1/28/2017 16:00,0.435,16.413,0
1/28/2017 17:00,0.436,16.413,0
1/28/2017 18:00,0.436,16.413,0
1/28/2017 19:00,0.437,16.413,0
1/28/2017 20:00,0.438,16.413,0
1/28/2017 21:00,0.438,16.413,0
1/28/2017 22:00,0.438,16.413,0
1/28/2017 23:00,0.438,16.413,0
1/29/2017 0:00,0.438,16.413,0
1/29/2017 1:00,0.438,16.413,0
1/29/2017 2:00,0.437,16.413,0
1/29/2017 3:00,0.437,16.413,0
1/29/2017 4:00,0.437,16.413,0
1/29/2017 5:00,0.437,16.413,0
1/29/2017 6:00,0.437,16.413,0
1/29/2017 7:00,0.436,16.413,0
1/29/2017 8:00,0.436,16.413,0
1/29/2017 9:00,0.436,16.413,0
1/29/2017 10:00,0.436,16.413,0
1/29/2017 11:00,0.435,16.413,0
1/29/2017 12:00,0.435,16.413,0
1/29/2017 13:00,0.435,16.413,0
1/29/2017 14:00,0.435,16.413,0
1/29/2017 15:00,0.436,16.413,0
1/29/2017 16:00,0.437,16.413,0
1/29/2017 17:00,0.437,16.413,0
1/29/2017 18:00,0.437,16.413,0
1/29/2017 19:00,0.438,16.413,0
1/29/2017 20:00,0.438,16.413,0
1/29/2017 21:00,0.438,16.413,0
1/29/2017 22:00,0.438,16.413,0
1/29/2017 23:00,0.438,16.413,0
1/30/2017 0:00,0.438,16.413,0
1/30/2017 1:00,0.438,16.413,0
1/30/2017 2:00,0.437,16.413,0
1/30/2017 3:00,0.437,16.413,0
1/30/2017 4:00,0.437,16.413,0
1/30/2017 5:00,0.437,16.413,0
1/30/2017 6:00,0.437,16.413,0
1/30/2017 7:00,0.436,16.413,0
1/30/2017 8:00,0.436,16.413,0
1/30/2017 9:00,0.435,16.413,0
1/30/2017 10:00,0.435,16.413,0
1/30/2017 11:00,0.435,16.413,0
1/30/2017 12:00,0.435,16.413,0
1/30/2017 13:00,0.435,16.413,0
1/30/2017 14:00,0.435,16.413,0
1/30/2017 15:00,0.435,16.413,0
1/30/2017 16:00,0.435,16.413,0
1/30/2017 17:00,0.436,16.413,0
1/30/2017 18:00,0.437,16.413,0
1/30/2017 19:00,0.438,16.413,0
1/30/2017 20:00,0.438,16.413,0
1/30/2017 21:00,0.438,16.413,0
1/30/2017 22:00,0.438,16.413,0
1/30/2017 23:00,0.438,16.413,0
1/31/2017 0:00,0.438,16.413,0
1/31/2017 1:00,0.438,16.413,0
1/31/2017 2:00,0.437,16.413,0
1/31/2017 3:00,0.437,16.413,0
1/31/2017 4:00,0.437,16.413,0
1/31/2017 5:00,0.437,16.413,0
1/31/2017 6:00,0.436,16.413,0
1/31/2017 7:00,0.436,16.413,0
1/31/2017 8:00,0.436,16.413,0
1/31/2017 9:00,0.436,16.413,0
1/31/2017 10:00,0.436,16.413,0
1/31/2017 11:00,0.435,16.413,0
1/31/2017 12:00,0.435,16.413,0
1/31/2017 13:00,0.436,16.413,0
1/31/2017 14:00,0.436,16.413,0
1/31/2017 15:00,0.436,16.413,0
1/31/2017 16:00,0.436,16.413,0
1/31/2017 17:00,0.436,16.413,0
1/31/2017 18:00,0.437,16.413,0
1/31/2017 19:00,0.437,16.413,0
1/31/2017 20:00,0.437,16.413,0
1/31/2017 21:00,0.438,16.413,0
1/31/2017 22:00,0.437,16.413,0
1/31/2017 23:00,0.437,16.413,0
2/1/2017 0:00,0.437,16.413,0
2/1/2017 1:00,0.437,16.413,0
2/1/2017 2:00,0.437,16.413,0
2/1/2017 3:00,0.437,16.413,0
2/1/2017 4:00,0.437,16.413,0
2/1/2017 5:00,0.437,16.413,0
2/1/2017 6:00,0.436,16.413,0
2/1/2017 7:00,0.436,16.413,0
2/1/2017 8:00,0.436,16.413,0
2/1/2017 9:00,0.436,16.413,0
2/1/2017 10:00,0.436,16.413,0
2/1/2017 11:00,0.436,16.413,0
2/1/2017 12:00,0.435,16.413,0
2/1/2017 13:00,0.436,16.413,0
2/1/2017 14:00,0.436,16.413,0
2/1/2017 15:00,0.436,16.413,0
2/1/2017 16:00,0.436,16.413,0
2/1/2017 17:00,0.436,16.413,0
2/1/2017 18:00,0.437,16.54,1.27
2/1/2017 19:00,0.438,16.591,0.51
2/1/2017 20:00,0.438,16.591,0
2/1/2017 21:00,0.439,16.591,0
2/1/2017 22:00,0.439,16.591,0
2/1/2017 23:00,0.438,16.591,0
2/2/2017 0:00,0.438,16.641,0.5
2/2/2017 1:00,0.438,16.641,0
2/2/2017 2:00,0.438,16.743,1.02
2/2/2017 3:00,0.438,16.972,2.29
2/2/2017 4:00,0.438,17.48,5.08
2/2/2017 5:00,0.439,17.81,3.3
2/2/2017 6:00,0.439,18.115,3.05
2/2/2017 7:00,0.439,18.115,0
2/2/2017 8:00,0.439,18.115,0
2/2/2017 9:00,0.439,18.115,0
2/2/2017 10:00,0.439,18.115,0
2/2/2017 11:00,0.439,18.14,0.25
2/2/2017 12:00,0.439,18.14,0
2/2/2017 13:00,0.439,18.14,0
2/2/2017 14:00,0.439,18.14,0
2/2/2017 15:00,0.44,18.14,0
2/2/2017 16:00,0.44,18.14,0
2/2/2017 17:00,0.441,18.14,0
2/2/2017 18:00,0.441,18.14,0
2/2/2017 19:00,0.441,18.14,0
2/2/2017 20:00,0.441,18.14,0
2/2/2017 21:00,0.441,18.14,0
2/2/2017 22:00,0.441,18.14,0
2/2/2017 23:00,0.442,18.14,0
2/3/2017 0:00,0.442,18.546,4.06
2/3/2017 1:00,0.442,18.851,3.05
2/3/2017 2:00,0.441,19.893,10.42
2/3/2017 3:00,0.442,20.477,5.84
2/3/2017 4:00,0.442,20.528,0.51
2/3/2017 5:00,0.441,20.883,3.55
2/3/2017 6:00,0.441,21.544,6.61
2/3/2017 7:00,0.442,21.544,0
2/3/2017 8:00,0.442,21.544,0
2/3/2017 9:00,0.442,21.544,0
2/3/2017 10:00,0.442,21.62,0.76
2/3/2017 11:00,0.442,21.696,0.76
2/3/2017 12:00,0.441,22.001,3.05
2/3/2017 13:00,0.441,22.077,0.76
2/3/2017 14:00,0.442,22.306,2.29
2/3/2017 15:00,0.442,22.636,3.3
2/3/2017 16:00,0.442,22.814,1.78
2/3/2017 17:00,0.442,22.89,0.76
2/3/2017 18:00,0.442,22.941,0.51
2/3/2017 19:00,0.443,22.941,0
2/3/2017 20:00,0.443,23.322,3.81
2/3/2017 21:00,0.443,23.576,2.54
2/3/2017 22:00,0.443,23.68,1.04
2/3/2017 23:00,0.443,23.88,2
2/4/2017 0:00,0.443,23.93,0.5
2/4/2017 1:00,0.443,23.98,0.5
2/4/2017 2:00,0.443,24.01,0.3
2/4/2017 3:00,0.443,24.06,0.5
2/4/2017 4:00,0.443,24.13,0.7
2/4/2017 5:00,0.443,24.13,0
2/4/2017 6:00,0.443,24.13,0
2/4/2017 7:00,0.443,24.19,0.6
2/4/2017 8:00,0.443,24.19,0
2/4/2017 9:00,0.443,24.36,1.7
2/4/2017 10:00,0.443,24.39,0.3
2/4/2017 11:00,0.442,24.39,0
2/4/2017 12:00,0.442,24.44,0.5
2/4/2017 13:00,0.442,24.44,0
2/4/2017 14:00,0.442,24.49,0.5
2/4/2017 15:00,0.443,24.49,0
2/4/2017 16:00,0.443,24.49,0
2/4/2017 17:00,0.443,24.49,0
